OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long
BC220,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8954474,35.5279364
BC221,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947603,35.5374637
BC222,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965584,35.5267291
BC223,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8941199,35.5275827
BC224,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8949751,35.5380038
BC225,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8963199,35.5262822
BC226,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8942641,35.5374553
BC227,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897633,35.533691
BC228,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897311,35.533707
BC229,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947887,35.5376279
BC230,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8964259,35.5270262
BC231,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896423,35.526466
BC232,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965517,35.521011
BC233,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8942641,35.5374553
BC234,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8966686,35.5269561
BC235,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959227,35.5278238
BC236,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896654,35.534149
BC237,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8966739,35.5268683
BC238,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897035,35.534056
BC239,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947887,35.5376279
BC240,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897035,35.534056
