OML UID,Entity / Source,Survey Type,Status,Assignee,Survey Date,Zone,Neighborhood حي,Building Exterior Assessment التقييم الخارجي للمبنى,Lat,Long,Supplier UID
VC394,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888931,35.528175,116970507
VC395,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.8944895,35.5206123,116974507
VC396,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894521,35.520584,116974616
VC397,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,63,Other آخر,Needs Repair يحتاج إصلاح,33.880032,35.517165,116974912
VC398,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.845,116977197
VC399,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.889487,35.528108,116980628
VC400,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,63,Other آخر,Good جيد,33.879993,35.516388,116986313
VC401,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888926,35.528431,116986432
VC402,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888926,35.528431,116990016
VC403,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888926,35.528431,116992810
VC404,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888962,35.528509,116995965
VC405,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.88898,35.528679,116999910
VC406,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.88898,35.528679,117011254
VC407,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,64,Sioufi السيوفي,Good جيد,33.88,35.52,117012122
VC408,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888884,35.528735,117013016
VC409,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.7522,117013945
VC410,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,64,Sioufi السيوفي,Good جيد,33.88,35.52,117015773
VC411,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,64,Sioufi السيوفي,Good جيد,33.88,35.52,117035806
VC412,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,64,Sioufi السيوفي,Good جيد,33.88,35.52,117039136
VC413,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,43,Other آخر,Good جيد,33.888866,35.526003,117041354
VC414,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,64,Sioufi السيوفي,Good جيد,33.88,35.52,117041748
VC415,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,43,Other آخر,Good جيد,33.889224,35.526329,117041774
VC416,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,43,Other آخر,Good جيد,33.889224,35.526351,117042111
VC417,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,43,Other آخر,Good جيد,33.889236,35.52634,117042345
VC418,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,64,Sioufi السيوفي,Good جيد,33.88,35.52,117042462
VC419,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,43,Other آخر,Good جيد,33.889431,35.526142,117043133
VC420,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,43,Other آخر,Good جيد,33.890332,35.526168,117045902
VC421,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,43,Other آخر,Good جيد,33.890326,35.526678,117046301
VC422,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,43,Other آخر,Good جيد,33.890322,35.52618,117046523
VC423,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,43,Other آخر,Good جيد,33.890339,35.526157,117046639
VC424,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,64,Sioufi السيوفي,Good جيد,33.88,35.52,117048270
VC425,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894443,35.520453,117139734
VC426,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-19,47,Rmeil الرميل,Good جيد,33.89,35.519,117143433
VC427,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-19,47,Rmeil الرميل,Good جيد,33.89,35.512,117145059
VC428,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-19,47,Rmeil الرميل,Good جيد,33.891519,35.519492,117145736
